RSSLink,countryOfOrigin,outletName
https://www.smh.com.au/rss/feed.xml,Australia,Sydney Morning Herald
https://www.theguardian.com/au/rss,Australia,The Guardian
http://rss.cnn.com/rss/cnn_topstories.rss,United States of America,CNN
https://cdn.feedcontrol.net/8/1114-wioSIX3uu8MEj.xml,United Kingdom,Reuters
https://www.buzzfeed.com/au/index.xml,United States of America,BuzzFeed
https://www.economist.com/the-world-this-week/rss.xml,United Kingdom,The Economist
https://www.cbsnews.com/latest/rss/main,United States of America,CBS News
https://www.abc.net.au/news/feed/51120/rss.xml,Australia,ABC News
https://www.9news.com.au/rss,Australia,9 News
https://www.crikey.com.au/feed/,Australia,Crikey
https://moxie.foxnews.com/feedburner/latest.xml,United States of America,Fox News
https://www.huffpost.com/section/front-page/feed,United States of America,Huffington Post
https://www.news.com.au/content-feeds/latest-news-world/,Australia,News.com.au
http://feeds.feedburner.com/IndependentAustralia,Australia,Independent Australia
https://www.dailytelegraph.com.au/feed,Australia,Daily Telegraph
https://www.theage.com.au/rss/feed.xml,Australia,The Age
https://www.michaelwest.com.au/feed/,Australia,Michael West
http://feeds.bbci.co.uk/news/world/rss.xml,United Kingdom,BBC News
https://theconversation.com/au/articles.atom,Australia,The Conversation
https://feeds.a.dj.com/rss/RSSWorldNews.xml,United States of America,Wall Street Journal
https://www.cnbc.com/id/100727362/device/rss/rss.html,United States of America,CNBC
https://abcnews.go.com/abcnews/topstories,United States of America,Amercian ABC
https://feeds.skynews.com/feeds/rss/world.xml,United Kingdom,Sky News
https://www.aljazeera.com/xml/rss/all.xml,Qatar,Alja Zeera
http://rssfeeds.usatoday.com/usatoday-NewsTopStories,United States of America,USA Today
https://www.heraldsun.com.au/rss,Australia,Herald Sun
https://www.scmp.com/rss/91/feed,China,South China Morning Post
https://rss.nytimes.com/services/xml/rss/nyt/World.xml,United States of America,New York Times
http://feeds.washingtonpost.com/rss/world?itid=lk_inline_manual_40,United States of America,The Washington Post
https://www.dailymail.co.uk/news/index.rss,United Kingdom,Daily Mail